session_id,customer_id,customer_email,customer_segment,cart_value,items_count,abandoned_at_step,timestamp,do_not_contact
sess_390239d9fa,cust_6323,cust.6323@gmail.com,retail,12941.16,1,confirm,2026-08-26T12:00:00,false
sess_46707cd64c,cust_8794,cust.8794@gmail.com,smb,13367.89,10,confirm,2026-08-26T12:00:00,true
sess_2a9528c35a,cust_2460,cust.2460@biz.co.in,smb,20866.41,8,review,2026-08-24T12:00:00,false
sess_7a3a6e9623,cust_9269,cust.9269@outlook.com,retail,13071.68,7,address,2026-09-02T12:00:00,false
sess_79e5c9aa59,cust_6343,cust.6343@gmail.com,retail,7266.13,7,payment_info,2026-08-22T12:00:00,false
sess_613d2de93a,cust_2426,cust.2426@biz.co.in,smb,26697.74,2,review,2026-08-27T12:00:00,false
sess_cb8383f2bb,cust_3446,cust.3446@outlook.com,smb,3610.92,10,payment_info,2026-08-27T12:00:00,false
sess_5e4cb28704,cust_5973,cust.5973@outlook.com,retail,15794.82,3,address,2026-08-30T12:00:00,false
sess_504e268770,cust_2675,cust.2675@company.in,smb,3926.17,8,review,2026-08-24T12:00:00,true
sess_41241bb465,cust_6395,cust.6395@gmail.com,enterprise,4126.81,3,confirm,2026-08-26T12:00:00,false
sess_720b274b82,cust_4869,cust.4869@gmail.com,retail,18848.61,7,review,2026-08-22T12:00:00,false
sess_0d700ea43b,cust_2617,cust.2617@gmail.com,enterprise,19324.2,7,address,2026-08-25T12:00:00,false
sess_7d1645a0d2,cust_5695,cust.5695@company.in,enterprise,9710.66,8,review,2026-08-25T12:00:00,false
sess_0123a34863,cust_1550,cust.1550@yahoo.com,enterprise,11950.74,2,confirm,2026-08-28T12:00:00,false
sess_aa0217d0cd,cust_5237,cust.5237@yahoo.com,enterprise,21951.72,3,confirm,2026-08-24T12:00:00,false
sess_a520c3d0fb,cust_3344,cust.3344@company.in,enterprise,13622.49,4,review,2026-09-02T12:00:00,false
sess_78ef7666b7,cust_5193,cust.5193@gmail.com,smb,6777.54,2,address,2026-09-04T12:00:00,false
sess_7bf695524c,cust_5336,cust.5336@gmail.com,smb,2268.07,4,payment_info,2026-08-26T12:00:00,false
sess_3db0174e79,cust_2063,cust.2063@yahoo.com,smb,4209.46,5,review,2026-08-30T12:00:00,false
sess_c183631533,cust_2153,cust.2153@outlook.com,retail,28349.18,9,review,2026-09-03T12:00:00,false
sess_e7bbaefc8f,cust_2965,cust.2965@yahoo.com,enterprise,4071.24,10,address,2026-08-23T12:00:00,false
