payment_id,customer_id,customer_email,customer_segment,amount,currency,payment_method,card_last4,failure_code,retry_count,timestamp,do_not_contact
pay_827050a823,cust_8973,cust.8973@company.in,retail,82355.94,INR,upi,,card_expired,0,2026-08-17T12:00:00,false
pay_5be6128e18,cust_4456,cust.4456@outlook.com,enterprise,27090.28,INR,netbanking,,invalid_cvv,3,2026-08-15T12:00:00,false
pay_4458a885ab,cust_8962,cust.8962@gmail.com,retail,11349.08,INR,netbanking,,do_not_honor,1,2026-08-20T12:00:00,false
pay_ec1b8ca1f9,cust_7543,cust.7543@company.in,enterprise,42202.09,INR,card,3504,insufficient_funds,0,2026-08-11T12:00:00,false
pay_dc713d960c,cust_1936,cust.1936@gmail.com,enterprise,78188.21,INR,upi,,card_expired,1,2026-08-19T12:00:00,false
pay_4729473961,cust_3646,cust.3646@company.in,retail,51110.82,INR,netbanking,,gateway_timeout,0,2026-08-20T12:00:00,false
pay_00d4af5974,cust_2753,cust.2753@outlook.com,smb,24308.4,INR,card,5325,do_not_honor,2,2026-08-29T12:00:00,false
pay_bc8960a923,cust_1488,cust.1488@gmail.com,retail,20159.85,INR,card,9928,insufficient_funds,0,2026-08-16T12:00:00,false
pay_366eb16f50,cust_7735,cust.7735@company.in,retail,57399.3,INR,netbanking,,gateway_timeout,0,2026-08-15T12:00:00,false
pay_29a3b2e95d,cust_6947,cust.6947@outlook.com,retail,5394.68,INR,upi,,card_lost_stolen,0,2026-08-07T12:00:00,false
pay_1c8eaee957,cust_9666,cust.9666@outlook.com,smb,79233.39,INR,netbanking,,card_expired,1,2026-09-01T12:00:00,false
pay_562b0f79c3,cust_6313,cust.6313@gmail.com,retail,69942.32,INR,card,2084,do_not_honor,2,2026-08-10T12:00:00,false
pay_2dbc2134c3,cust_9280,cust.9280@biz.co.in,retail,54097.04,INR,card,6464,gateway_timeout,2,2026-08-09T12:00:00,true
pay_96da1dac72,cust_1750,cust.1750@outlook.com,retail,72774.35,INR,upi,,do_not_honor,0,2026-08-08T12:00:00,false
pay_c241330b01,cust_8428,cust.8428@yahoo.com,retail,31780.29,INR,upi,,do_not_honor,2,2026-08-29T12:00:00,false
pay_5cabcc9766,cust_3697,cust.3697@yahoo.com,smb,78790.78,INR,upi,,insufficient_funds,3,2026-08-10T12:00:00,false
pay_4722938957,cust_2169,cust.2169@yahoo.com,enterprise,62111.21,INR,card,4598,do_not_honor,3,2026-08-30T12:00:00,false
pay_146d3f31fc,cust_9317,cust.9317@yahoo.com,smb,71621.06,INR,netbanking,,invalid_cvv,1,2026-08-19T12:00:00,false
pay_a65ed389b7,cust_9785,cust.9785@biz.co.in,smb,7158.62,INR,card,2139,invalid_cvv,2,2026-08-26T12:00:00,false
pay_3602f8ac10,cust_4981,cust.4981@biz.co.in,retail,8470.53,INR,upi,,do_not_honor,3,2026-08-14T12:00:00,false
pay_61b1cd2262,cust_1651,cust.1651@biz.co.in,enterprise,49820.31,INR,upi,,do_not_honor,2,2026-08-19T12:00:00,false
pay_93cd59bf5c,cust_1188,cust.1188@yahoo.com,enterprise,75264.62,INR,card,6573,do_not_honor,2,2026-08-11T12:00:00,false
pay_88bd64072b,cust_7932,cust.7932@yahoo.com,enterprise,58793.81,INR,netbanking,,invalid_cvv,2,2026-08-13T12:00:00,false
pay_0b1f9163ce,cust_8517,cust.8517@company.in,retail,63451.57,INR,card,8019,card_expired,2,2026-08-18T12:00:00,false
pay_95a76d79bf,cust_1241,cust.1241@company.in,retail,34841.99,INR,card,1960,invalid_cvv,1,2026-08-20T12:00:00,false
pay_07a0ca6e08,cust_7924,cust.7924@gmail.com,smb,13638.02,INR,upi,,card_lost_stolen,2,2026-08-11T12:00:00,false
pay_a9488d990b,cust_2827,cust.2827@yahoo.com,smb,774.23,INR,card,3927,insufficient_funds,2,2026-08-12T12:00:00,false
pay_a491f0b2ea,cust_6559,cust.6559@company.in,retail,16689.36,INR,card,4006,do_not_honor,3,2026-08-18T12:00:00,false
pay_d453dd324b,cust_3621,cust.3621@biz.co.in,enterprise,5868.09,INR,upi,,do_not_honor,3,2026-08-23T12:00:00,false
pay_ae270da702,cust_2188,cust.2188@gmail.com,enterprise,84670.15,INR,netbanking,,card_expired,1,2026-09-02T12:00:00,false
pay_bdd640fb06,cust_5012,cust.5012@outlook.com,retail,62731.82,INR,card,1520,do_not_honor,0,2026-08-14T12:00:00,false
pay_451b4cf361,cust_7118,cust.7118@biz.co.in,smb,10724.85,INR,netbanking,,insufficient_funds,0,2026-08-28T12:00:00,false
pay_cac5b68c28,cust_9320,cust.9320@company.in,retail,50780.47,INR,card,5033,card_expired,1,2026-08-14T12:00:00,false
pay_9a1de64481,cust_7224,cust.7224@gmail.com,smb,72113.27,INR,card,8527,card_expired,2,2026-08-16T12:00:00,false
